participant _number,response_id,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,made_question_order,question_type,full_response,notes
6,90212,b7fbfca4-b281-46ee-861d-afe18080b509,2556-3652,3510,male,en,flood,first,made,"The rain, and the water.","*autism spectrum disorder, OCD"
6,90212,b7fbfca4-b281-46ee-861d-afe18080b509,2556-3652,3510,male,en,flood,first,simple,"The rain, which is the water.","*autism spectrum disorder, OCD"
6,90212,b7fbfca4-b281-46ee-861d-afe18080b509,2556-3652,3510,male,en,sunburn,second,simple,The sun.,"*autism spectrum disorder, OCD"
6,90212,b7fbfca4-b281-46ee-861d-afe18080b509,2556-3652,3510,male,en,sunburn,second,made,The sun.,"*autism spectrum disorder, OCD"
7,90323,7162f6d6-8e8e-4ef3-86d1-595257582207,2556-3652,2910,male,en,flood,first,made,The window latch wasn't on so it opened and closed.,
7,90323,7162f6d6-8e8e-4ef3-86d1-595257582207,2556-3652,2910,male,en,flood,first,simple,Water.,
7,90323,7162f6d6-8e8e-4ef3-86d1-595257582207,2556-3652,2910,male,en,sunburn,second,simple,The sun.,
7,90323,7162f6d6-8e8e-4ef3-86d1-595257582207,2556-3652,2910,male,en,sunburn,second,made,She didn't have her sunscreen on so the sun gave her a sunburn.,
8,90346,46cb4a7e-fa6b-491c-ab92-913c7a57629f,2556-3652,2970,male,en so,sunburn,first,made,Because she forgot her sunscreen.,
8,90346,46cb4a7e-fa6b-491c-ab92-913c7a57629f,2556-3652,2970,male,en so,sunburn,first,simple,The sun.,
8,90346,46cb4a7e-fa6b-491c-ab92-913c7a57629f,2556-3652,2970,male,en so,flood,second,simple,The hard rain.,
8,90346,46cb4a7e-fa6b-491c-ab92-913c7a57629f,2556-3652,2970,male,en so,flood,second,made,The really hard rain.,
9,90384,6755700a-df67-46e2-9e57-73d744e635a1,2556-3652,3390,female,en fr,sunburn,first,made,The sun made Suzy's skin burn.,
9,90384,6755700a-df67-46e2-9e57-73d744e635a1,2556-3652,3390,female,en fr,sunburn,first,simple,The sun.,
9,90384,6755700a-df67-46e2-9e57-73d744e635a1,2556-3652,3390,female,en fr,flood,second,simple,The rain flooded the basement because the window was open.,
9,90384,6755700a-df67-46e2-9e57-73d744e635a1,2556-3652,3390,female,en fr,flood,second,made,The window. Because the window didn't have the other latch so the window stayed open and it made the basement flood when it started raining.,
10,90438,10252169-065f-411f-b0fc-c17bd9fc5c32,2556-3652,3090,male,en so,flood,second,simple,Water.,
10,90438,10252169-065f-411f-b0fc-c17bd9fc5c32,2556-3652,3090,male,en so,flood,second,made,Rain.,
10,90438,10252169-065f-411f-b0fc-c17bd9fc5c32,2556-3652,3090,male,en so,sunburn,second,simple,The sun.,
10,90438,10252169-065f-411f-b0fc-c17bd9fc5c32,2556-3652,3090,male,en so,sunburn,second,made,The sun.,
11,90470,4837260f-3609-4791-93dd-d1ca8b583071,2556-3652,3510,male,en,sunburn,first,made,She didn't put sunscreen.,
11,90470,4837260f-3609-4791-93dd-d1ca8b583071,2556-3652,3510,male,en,sunburn,first,simple,The sun.,
11,90470,4837260f-3609-4791-93dd-d1ca8b583071,2556-3652,3510,male,en,flood,second,simple,The rain.,
11,90470,4837260f-3609-4791-93dd-d1ca8b583071,2556-3652,3510,male,en,flood,second,made,The open window.,
12,90560,bf4c8290-b513-4e90-ae4c-88261ffda14b,2556-3652,2670,female,en ,sunburn,second,simple,She got a really bad sunburn.,
12,90560,bf4c8290-b513-4e90-ae4c-88261ffda14b,2556-3652,2670,female,en,sunburn,second,made,She forgot her sunscreen.,
12,90560,bf4c8290-b513-4e90-ae4c-88261ffda14b,2556-3652,2670,female,en,flood,first,made,He forgot the latch.,
12,90560,bf4c8290-b513-4e90-ae4c-88261ffda14b,2556-3652,2670,female,en,flood,first,simple,Water.,
13,90700,82434e22-4de7-4f35-b251-f9e82ff1d7e0,2556-3652,3570,male,en,sunburn,second,simple,The sun.,
13,90700,82434e22-4de7-4f35-b251-f9e82ff1d7e0,2556-3652,3570,male,en,sunburn,second,made,The fact that she forgot her sunscreen.,
13,90700,82434e22-4de7-4f35-b251-f9e82ff1d7e0,2556-3652,3570,male,en,flood,first,made,The rain flooded and it went into the basement.,
13,90700,82434e22-4de7-4f35-b251-f9e82ff1d7e0,2556-3652,3570,male,en,flood,first,simple,The water made the basement flood.,
14,90723,227bb643-7043-46ea-abf3-19f05503e034,2556-3652,3330,female,en,flood,second,simple,"The latch was broken so the window was open, and it started raining hard and the water got high and it went into the basement through the window.",
14,90723,227bb643-7043-46ea-abf3-19f05503e034,2556-3652,3330,female,en,flood,second,made,The open window.,
14,90723,227bb643-7043-46ea-abf3-19f05503e034,2556-3652,3330,female,en,sunburn,second,simple,The sun because she left her sunscreen at home.,
14,90723,227bb643-7043-46ea-abf3-19f05503e034,2556-3652,3330,female,en,sunburn,second,made,The sun made Suzy's skin burn because she didn't bring her sunscreen because she forgot it at home.,
15,90783,b467f1dd-4ed3-4749-bdd6-19216eaaa514,2556-3652,3180,male,en egy uk,sunburn,first,made,The sun.,
15,90783,b467f1dd-4ed3-4749-bdd6-19216eaaa514,2556-3652,3180,male,en egy uk,sunburn,first,simple,The sun.,
15,90783,b467f1dd-4ed3-4749-bdd6-19216eaaa514,2556-3652,3180,male,en egy uk,flood,second,simple,Andy took off the latch and trying to fix the latch while it started to rain and water got all in the basement which made it flood. ,
15,90783,b467f1dd-4ed3-4749-bdd6-19216eaaa514,2556-3652,3180,male,en egy uk,flood,second,made,The rain.,
16,90819,375bdb76-1fde-48b3-9a8c-1ed3cb1a05b0,2556-3652,3150,male,,flood,second,simple,Water.,
16,90819,375bdb76-1fde-48b3-9a8c-1ed3cb1a05b0,2556-3652,3150,male,,flood,second,made,It was a very heavy rain and the latch to the window was gone meaning that the window was open.,
16,90819,375bdb76-1fde-48b3-9a8c-1ed3cb1a05b0,2556-3652,3150,male,,sunburn,first,made,The sun.,
16,90819,375bdb76-1fde-48b3-9a8c-1ed3cb1a05b0,2556-3652,3150,male,,sunburn,first,simple,Lack of sunscreen and exposure the sun.,
17,90836,f21cb74f-2344-44fc-a0d3-a099f4644403,2556-3652,2610,male,,flood,second,simple,Windows.,
17,90836,f21cb74f-2344-44fc-a0d3-a099f4644403,2556-3652,2610,male,,flood,second,made,Windows.,
17,90836,f21cb74f-2344-44fc-a0d3-a099f4644403,2556-3652,2610,male,,sunburn,first,made,The sun.,
17,90836,f21cb74f-2344-44fc-a0d3-a099f4644403,2556-3652,2610,male,,sunburn,first,simple,The sun.,
18,90909,74a53607-43df-4889-a4ec-7467b935763e,2556-3652,2850,female,en,flood,second,simple,The rain.,
18,90909,74a53607-43df-4889-a4ec-7467b935763e,2556-3652,2850,female,en,flood,second,made,"It started to rain, that's why.",
18,90909,74a53607-43df-4889-a4ec-7467b935763e,2556-3652,2850,female,en,sunburn,second,simple,The sun.,
18,90909,74a53607-43df-4889-a4ec-7467b935763e,2556-3652,2850,female,ne,sunburn,second,made,The sun made her skin burn.,
19,90940,83fba963-4f11-427d-b1ea-ddeba9192e7f,2556-3652,3210,male,en,flood,second,simple,Water.,
19,90940,83fba963-4f11-427d-b1ea-ddeba9192e7f,2556-3652,3210,male,en,flood,second,made,The rain.,
19,90940,83fba963-4f11-427d-b1ea-ddeba9192e7f,2556-3652,3210,male,en,sunburn,second,simple,The sun.,
19,90940,83fba963-4f11-427d-b1ea-ddeba9192e7f,2556-3652,3210,male,en,sunburn,second,made,The sun.,
20,91037,27cf77ba-3b40-4db4-a741-2e85518f2946,2556-3652,3210,male,en ro,sunburn,second,simple,The sun.,
20,91037,27cf77ba-3b40-4db4-a741-2e85518f2946,2556-3652,3210,male,en ro,sunburn,second,made,The sun.,
20,91037,27cf77ba-3b40-4db4-a741-2e85518f2946,2556-3652,3210,male,en ro,flood,first,made,The windown was open and the water was piling up and it flooded the basement.,
20,91037,27cf77ba-3b40-4db4-a741-2e85518f2946,2556-3652,3210,male,en ro,flood,first,simple,The window was open.,
21,91252,77fac41c-9ff2-4a92-a4a4-a67a3780764b,2556-3652,3570,female,en,flood,first,made,The rain.,
21,91252,77fac41c-9ff2-4a92-a4a4-a67a3780764b,2556-3652,3570,female,en,flood,first,simple,The rain.,
21,91252,77fac41c-9ff2-4a92-a4a4-a67a3780764b,2556-3652,3570,female,en,sunburn,first,made,The sun.,
21,91252,77fac41c-9ff2-4a92-a4a4-a67a3780764b,2556-3652,3570,female,en,sunburn,first,simple,The sun.,
22,91281,60c20c33-d3e9-4396-9eed-a7842ddabb1b,2556-3652,2940,male,en so,sunburn,second,simple,The sun.. wow,
22,91281,60c20c33-d3e9-4396-9eed-a7842ddabb1b,2556-3652,2940,male,en so,sunburn,second,made,The sun.,
22,91281,60c20c33-d3e9-4396-9eed-a7842ddabb1b,2556-3652,2940,male,en so,flood,second,simple,The rain. The rain. The rain. ,
22,91281,60c20c33-d3e9-4396-9eed-a7842ddabb1b,2556-3652,2940,male,en so,flood,second,made,The open window.,
23,91288,762f04e6-5cac-41e2-bce1-a978ed31eaee,2556-3652,2670,female,en,flood,first,made,The window was open.,
23,91288,762f04e6-5cac-41e2-bce1-a978ed31eaee,2556-3652,2670,female,en,flood,first,simple,The water.,
23,91288,762f04e6-5cac-41e2-bce1-a978ed31eaee,2556-3652,2670,female,en,sunburn,second,simple,She got sunburned.,
23,91288,762f04e6-5cac-41e2-bce1-a978ed31eaee,2556-3652,2670,female,en,sunburn,second,made,Sunburn.,
24,91296,c0b406f5-4667-4cf8-aae9-06138d35b42d,2556-3652,2970,female,en so,flood,second,simple,Water.,
24,91296,c0b406f5-4667-4cf8-aae9-06138d35b42d,2556-3652,2970,female,en so,flood,second,made,Rain.,
24,91296,c0b406f5-4667-4cf8-aae9-06138d35b42d,2556-3652,2970,female,en so,sunburn,second,simple,The sun.,
24,91296,c0b406f5-4667-4cf8-aae9-06138d35b42d,2556-3652,2970,female,en so,sunburn,second,made,Her forgetting her sunscreen.,
25,91371,0eacb4f7-a098-4224-a581-fd243aa8b63f,2556-3652,3270,female,,flood,first,made,He left the window open.,"The parent Says, ""they hear you, just say they left the window open."""
25,91371,0eacb4f7-a098-4224-a581-fd243aa8b63f,2556-3652,3270,female,,flood,first,simple,"Andy. Oh, the rain.","The parent says, ""they said what flooded the basement?"""
25,91371,0eacb4f7-a098-4224-a581-fd243aa8b63f,2556-3652,3270,female,,sunburn,second,simple,The sun.,
25,91371,0eacb4f7-a098-4224-a581-fd243aa8b63f,2556-3652,3270,female,,sunburn,second,made,The sun. ,
26,91436,1f4748af-c274-4d10-9fe4-c7477b30e480,2556-3652,3540,male,en,flood,second,simple,The water flooded the basement.,
26,91436,1f4748af-c274-4d10-9fe4-c7477b30e480,2556-3652,3540,male,en,flood,second,made,"What made the basement flood was the open window, without a latch, and so all the water could get in and flooded.",
26,91436,1f4748af-c274-4d10-9fe4-c7477b30e480,2556-3652,3540,male,en,sunburn,first,made,The thing that made Suzy's skin burn is she forgot to put her sunscreen on and so she got really bad sunscreen.,"The parent asks, ""what's your answer?"""
26,91436,1f4748af-c274-4d10-9fe4-c7477b30e480,2556-3652,3540,male,en,sunburn,first,simple,"What made Suzy's skin burn was, um, she forgot to put her sunscreen on and so she got a really bad sunburn.",
27,91638,a9195545-524d-4d35-9b4a-a4b6536665b5,2556-3652,3540,male,en,flood,second,simple,"When Andy opened the window, the water started to come in the basement. ",
27,91638,a9195545-524d-4d35-9b4a-a4b6536665b5,2556-3652,3540,male,en,flood,second,made,Because the window was open.,
27,91638,a9195545-524d-4d35-9b4a-a4b6536665b5,2556-3652,3540,male,en,sunburn,first,made,The sun.,
27,91638,a9195545-524d-4d35-9b4a-a4b6536665b5,2556-3652,3540,male,en,sunburn,first,simple,The sun.,
28,91651,	dd275694-a7b6-4160-92e0-fa5158e22725,2556-3652,2640,female,en ja,sunburn,second,simple,The sun.,
28,91651,	dd275694-a7b6-4160-92e0-fa5158e22725,2556-3652,2640,female,en ja,sunburn,second,made,The sun.,
28,91651,	dd275694-a7b6-4160-92e0-fa5158e22725,2556-3652,2640,female,en ja,flood,second,simple,The rain.,
28,91651,	dd275694-a7b6-4160-92e0-fa5158e22725,2556-3652,2640,female,en ja,flood,second,made,The rain.,
29,91721,efab0d55-5628-4c64-8ea5-6fccd822f4ec,2556-3652,3180,male,en,sunburn,first,made,The sun.,
29,91721,efab0d55-5628-4c64-8ea5-6fccd822f4ec,2556-3652,3180,male,en,sunburn,first,simple,The sun.,
29,91721,efab0d55-5628-4c64-8ea5-6fccd822f4ec,2556-3652,3180,male,en,flood,first,made,The rain. Open window.,
29,91721,efab0d55-5628-4c64-8ea5-6fccd822f4ec,2556-3652,3180,male,en,flood,first,simple,The rain.,
30,91772,a7e55fa2-406a-4bb9-951d-4c5050fb1d9e,2556-3652,3000,male,,flood,first,made,The rain.,
30,91772,a7e55fa2-406a-4bb9-951d-4c5050fb1d9e,2556-3652,3000,male,,flood,first,simple,The water.,
30,91772,a7e55fa2-406a-4bb9-951d-4c5050fb1d9e,2556-3652,3000,male,,sunburn,first,made,The sun.,
30,91772,a7e55fa2-406a-4bb9-951d-4c5050fb1d9e,2556-3652,3000,male,,sunburn,first,simple,The sun.,
31,91785,9ab2e7a6-47bb-4f5f-bf42-0df0da1fb454,2556-3652,2820,male,en,sunburn,first,made,The sun.,
31,91785,9ab2e7a6-47bb-4f5f-bf42-0df0da1fb454,2556-3652,2820,male,en,sunburn,first,simple,The sun.,
31,91785,9ab2e7a6-47bb-4f5f-bf42-0df0da1fb454,2556-3652,2820,male,en,flood,second,simple,The rain.,Video froze but still audible starting at 5:28
31,91785,9ab2e7a6-47bb-4f5f-bf42-0df0da1fb454,2556-3652,2820,male,en,flood,second,made,The water.,Video froze but still audible starting at 5:28
32,91789,	be044230-527c-4c41-98b6-8d85040e8f20,2556-3652,2640,male,,flood,second,simple,Water.,
32,91789,	be044230-527c-4c41-98b6-8d85040e8f20,2556-3652,2640,male,,flood,second,made,Rain.,
32,91789,	be044230-527c-4c41-98b6-8d85040e8f20,2556-3652,2640,male,,sunburn,second,simple,Sun.,
32,91789,	be044230-527c-4c41-98b6-8d85040e8f20,2556-3652,2640,male,,sunburn,second,made,Sun.,
33,91808,ca3ffe99-f6de-4d7d-8fd8-acbfa913971c,2556-3652,2670,male,en,flood,first,made,Because it was raining.,
33,91808,ca3ffe99-f6de-4d7d-8fd8-acbfa913971c,2556-3652,2670,male,en,flood,first,simple,The water.,
33,91808,ca3ffe99-f6de-4d7d-8fd8-acbfa913971c,2556-3652,2670,male,en,sunburn,second,simple,The sun.,
33,91808,ca3ffe99-f6de-4d7d-8fd8-acbfa913971c,2556-3652,2670,male,en,sunburn,second,made,The sun.,
34,91858,d738692f-5078-4ca0-897e-844a8d931c9f,2556-3652,2790,male,en,flood,second,simple,The rain.,
34,91858,d738692f-5078-4ca0-897e-844a8d931c9f,2556-3652,2790,male,en,flood,second,made,The heavy rain from the rainy day.,
34,91858,d738692f-5078-4ca0-897e-844a8d931c9f,2556-3652,2790,male,en,sunburn,second,simple,The sun.,
34,91858,d738692f-5078-4ca0-897e-844a8d931c9f,2556-3652,2790,male,en,sunburn,second,made,"Um, the sun.",
35,91881,7cdd462f-909f-42b4-a84c-1fd7819da8f5,2556-3652,2940,female,en,sunburn,frst,made,"Um, Suzy forgot her sunscreen and she need it to keep cool and not get any burns.",
35,91881,7cdd462f-909f-42b4-a84c-1fd7819da8f5,2556-3652,2940,female,en,sunburn,first,simple,The humid weather made her burn.,
35,91881,7cdd462f-909f-42b4-a84c-1fd7819da8f5,2556-3652,2940,female,en,flood,first,made,"Um, it was the heavy rain in the door was open and it somehow got in.",
35,91881,7cdd462f-909f-42b4-a84c-1fd7819da8f5,2556-3652,2940,female,en,flood,first,simple,The rain. The rain. ,
36,91902,15501558-3fc3-4a91-a5da-44d60dd331f4,2556-3652,2790,male,en,sunburn,second,simple,The sun.,
36,91902,15501558-3fc3-4a91-a5da-44d60dd331f4,2556-3652,2790,male,en,sunburn,second,made,Sun.,
36,91902,15501558-3fc3-4a91-a5da-44d60dd331f4,2556-3652,2790,male,en,flood,second,simple,The rain. The rain.,
36,91902,15501558-3fc3-4a91-a5da-44d60dd331f4,2556-3652,2790,male,en,flood,second,made,The rain.,
37,91913,7e88c784-1c50-4a39-b613-88f7b46c6f01,2556-3652,3570,female,en,sunburn,first,made,The sun.,
37,91913,7e88c784-1c50-4a39-b613-88f7b46c6f01,2556-3652,3570,female,en,sunburn,first,simple,The sun.,
37,91913,7e88c784-1c50-4a39-b613-88f7b46c6f01,2556-3652,3570,female,en,flood,second,simple,The rain.,
37,91913,7e88c784-1c50-4a39-b613-88f7b46c6f01,2556-3652,3570,female,en,flood,second,made,The rain.,
38,91984,	2082cbba-507b-40b0-bcdd-4c56ca99d6cb,2556-3652,2610,female,en,flood,first,made,The flood. The flood.,
38,91984,	2082cbba-507b-40b0-bcdd-4c56ca99d6cb,2556-3652,2610,female,en,flood,first,simple,The rain.,
38,91984,	2082cbba-507b-40b0-bcdd-4c56ca99d6cb,2556-3652,2610,female,en,sunburn,first,made,The sun.,
38,91984,	2082cbba-507b-40b0-bcdd-4c56ca99d6cb,2556-3652,2610,female,en,sunburn,first,simple,The sun burned from the sun.,
39,92116,c0b72996-fbc9-4032-8c82-15349c42f66e,2556-3652,2670,male,en,flood,first,made,The rain.,
39,92116,c0b72996-fbc9-4032-8c82-15349c42f66e,2556-3652,2670,male,en,flood,first,simple,The rain.,"The parent asks, ""what flooded the basement?"""
39,92116,c0b72996-fbc9-4032-8c82-15349c42f66e,2556-3652,2670,male,en,sunburn,second,simple,The sunburn.,
39,92116,c0b72996-fbc9-4032-8c82-15349c42f66e,2556-3652,2670,male,en,sunburn,second,made,The sunburn.,
40,92117,e80748ba-350e-497e-b595-b5ab5e02cd9d,2556-3652,3420,male,en,flood,second,simple,Because the windows were open. The water.,"The parent asks, ""what made Suzy's skin burn?"""
40,92117,e80748ba-350e-497e-b595-b5ab5e02cd9d,2556-3652,3420,male,en,flood,second,made,"Um, because the window was open.","The parent asks, ""what flooded the basement?"""
40,92117,e80748ba-350e-497e-b595-b5ab5e02cd9d,2556-3652,3420,male,en,sunburn,second,simple,The sun.,
40,92117,e80748ba-350e-497e-b595-b5ab5e02cd9d,2556-3652,3420,male,en,sunburn,second,made,Because she didn't - Because she didn't put on sunscreen.,
41,92304,aadbebc7-881a-4988-9bac-9d97fbd281d8,2556-3652,2850,male,en cmn,flood,first,made,The rain.,
41,92304,aadbebc7-881a-4988-9bac-9d97fbd281d8,2556-3652,2850,male,en cmn,flood,first,simple,Rain.,
41,92304,aadbebc7-881a-4988-9bac-9d97fbd281d8,2556-3652,2850,male,en cmn,sunburn,second,simple,Sun.,
41,92304,aadbebc7-881a-4988-9bac-9d97fbd281d8,2556-3652,2850,male,en cmn,sunburn,second,made,Sun.,
42,92526,9421f3d6-7639-455e-a282-5264ab3d0159,2556-3652,3360,female,en he,sunburn,second,simple,The sun.,
42,92526,9421f3d6-7639-455e-a282-5264ab3d0159,2556-3652,3360,female,en he,sunburn,second,made,The sun.,
42,92526,9421f3d6-7639-455e-a282-5264ab3d0159,2556-3652,3360,female,en he,flood,first,made,The water made the basement flood.,
42,92526,9421f3d6-7639-455e-a282-5264ab3d0159,2556-3652,3360,female,en he,flood,first,simple,The water.,
43,92527,	eed14e95-d0de-4a59-a989-1296041b372c,2556-3652,2700,male,en ro so,flood,first,made,It made the basement flood because the window was open.,
43,92527,	eed14e95-d0de-4a59-a989-1296041b372c,2556-3652,2700,male,en ro so,flood,first,simple,The rain.,
43,92527,	eed14e95-d0de-4a59-a989-1296041b372c,2556-3652,2700,male,en ro so,sunburn,first,made,The sun.,
43,92527,	eed14e95-d0de-4a59-a989-1296041b372c,2556-3652,2700,male,en ro so,sunburn,first,simple,The sun.,
44,92531,644a545b-38d3-47dc-82b2-122046fa0866,2556-3652,2760,female,en,sunburn,second,simple,The sun even though that's not a burn.. it's blood. Is it the sun?,"The parent says, ""it looks like a sun burn to me."""
44,92531,644a545b-38d3-47dc-82b2-122046fa0866,2556-3652,2760,female,en,sunburn,second,made,The reason why I think it looks like blood is because it got on the shirt. I said the sun already. The sun. Yeah.,"The parent says, ""Okay. What made Suzy's skin burn?"" and then asks,"" That's your answer? What made her skin burn?"""
44,92531,644a545b-38d3-47dc-82b2-122046fa0866,2556-3652,2760,female,en,flood,second,simple,Do they think I'm dumb? That's obviously water. Rain.,"The parent says, ""Okay, that's your answer? What flooded the basement?"""
44,92531,644a545b-38d3-47dc-82b2-122046fa0866,2556-3652,2760,female,en,flood,second,made,The open window. The open window.,"The parent says, ""Okay, is that your full answer? What made the basement flood?"" and then, ""Okay, that's it?"""
45,92550,817e0dc4-c594-4b07-b984-390c99060c81,2556-3652,3480,male,en,sunburn,first,made,The sun.,
45,92550,817e0dc4-c594-4b07-b984-390c99060c81,2556-3652,3480,male,en,sunburn,first,simple,The sun.,
45,92550,817e0dc4-c594-4b07-b984-390c99060c81,2556-3652,3480,male,en,flood,first,made,The water.,
45,92550,817e0dc4-c594-4b07-b984-390c99060c81,2556-3652,3480,male,en,flood,first,simple,Water.,
46,92564,	c6989867-8389-4be9-8539-31404c44d141,2556-3652,2670,female,en,flood,first,made,The window was open.,
46,92564,	c6989867-8389-4be9-8539-31404c44d141,2556-3652,2670,female,en,flood,first,simple,What. I don't know. The window was open.,"The parent says, ""Answer it. Yes, you can. Here, we'll play it again."""
46,92564,	c6989867-8389-4be9-8539-31404c44d141,2556-3652,2670,female,en,sunburn,first,made,She forgot her sunscreen.,
46,92564,	c6989867-8389-4be9-8539-31404c44d141,2556-3652,2670,female,en,sunburn,first,simple,The sun.,"The parent says, ""This is the next question. Listen to it again."""
47,92595,b330d91c-0096-47f3-b34c-3b206688410c,2556-3652,2700,female,,sunburn,scond,simple,The sun.,
47,92595,b330d91c-0096-47f3-b34c-3b206688410c,2556-3652,2700,female,,sunburn,second,made,The sun.,
47,92595,b330d91c-0096-47f3-b34c-3b206688410c,2556-3652,2700,female,,flood,second,simple,The rain.,
47,92595,b330d91c-0096-47f3-b34c-3b206688410c,2556-3652,2700,female,,flood,second,made,The rain.,
48,92620,cf95cd55-c9dc-4718-baf2-368bc760e94d,2556-3652,3030,male,,flood,second,simple,Water.,
48,92620,cf95cd55-c9dc-4718-baf2-368bc760e94d,2556-3652,3030,male,,flood,second,made,The window was open.,
48,92620,cf95cd55-c9dc-4718-baf2-368bc760e94d,2556-3652,3030,male,,sunburn,first,made,The sun.,
48,92620,cf95cd55-c9dc-4718-baf2-368bc760e94d,2556-3652,3030,male,,sunburn,first,simple,The sun.,
49,92737,	2197399b-5f38-406d-8b21-e3e0fe8f6d7f,2556-3652,3210,male,en,sunburn,first,made,The sun.,
49,92737,	2197399b-5f38-406d-8b21-e3e0fe8f6d7f,2556-3652,3210,male,en,sunburn,first,simple,The sun.,
49,92737,	2197399b-5f38-406d-8b21-e3e0fe8f6d7f,2556-3652,3210,male,en,flood,first,made,The rain.,
49,92737,	2197399b-5f38-406d-8b21-e3e0fe8f6d7f,2556-3652,3210,male,en,flood,first,simple,The rain.,
50,92896,31b0c3c8-36a1-4cb2-a580-31ada184f80f,2556-3652,2610,male,en,sunburn,second,simple,She forgot her sunscreen. The sun.,"The parent asks, ""it says, what burns Suzie's skin?"""
50,92896,31b0c3c8-36a1-4cb2-a580-31ada184f80f,2556-3652,2610,male,en,sunburn,second,made,The sun. The sun. The sun.,
50,92896,31b0c3c8-36a1-4cb2-a580-31ada184f80f,2556-3652,2610,male,en,flood,first,made,The window.,"The parent asks, ""what made the basement flood?"""
50,92896,31b0c3c8-36a1-4cb2-a580-31ada184f80f,2556-3652,2610,male,en,flood,first,simple,The water.,"The parent asks, ""from where?"" The child replies, ""The window."""
51,93033,	0323af30-f686-4351-8e10-bcbecf0faca2,2556-3652,3090,female,,sunburn,second,simple,The sun burned it because she didn't put sunscreen on.,
51,93033,	0323af30-f686-4351-8e10-bcbecf0faca2,2556-3652,3090,female,,sunburn,second,made,"The sun made her, um, skin burn.",
51,93033,	0323af30-f686-4351-8e10-bcbecf0faca2,2556-3652,3090,female,,flood,second,simple,The water flooded the basement.,
51,93033,	0323af30-f686-4351-8e10-bcbecf0faca2,2556-3652,3090,female,,flood,second,made,Water.,
52,93077,	2e94ccb0-b892-4bde-b3e7-007f95a3a36d,2556-3652,2850,female,en,sunburn,second,simple,The sun. Hit her face.,
52,93077,	2e94ccb0-b892-4bde-b3e7-007f95a3a36d,2556-3652,2850,female,en,sunburn,second,made,The sun burned her. ,
52,93077,	2e94ccb0-b892-4bde-b3e7-007f95a3a36d,2556-3652,2850,female,en,flood,first,made,"Um, the window opened and the latch broke.",
