participant_number,response_id,date_and_time,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,counterbalance,caused_question_order,question_type,full_response,response,notes
5,108403,11/2/2022 8:13 PM,9d0367e5-a63a-4ac8-9052-0ff8f9fa3ba6,1461-1826,1740,male,en,fence_break,suzy,second,break,Andy.,Andy,
5,108403,11/2/2022 8:13 PM,9d0367e5-a63a-4ac8-9052-0ff8f9fa3ba6,1461-1826,1740,male,en,fence_break,suzy,second,caused,Suzy.,Suzy,
5,108403,11/2/2022 8:13 PM,9d0367e5-a63a-4ac8-9052-0ff8f9fa3ba6,1461-1826,1740,male,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
5,108403,11/2/2022 8:13 PM,9d0367e5-a63a-4ac8-9052-0ff8f9fa3ba6,1461-1826,1740,male,en,mirror_crack,bobby,second,caused,Bobby.,Bobby,
6,108412,11/2/2022 10:23 PM,7b02ca21-99f6-4ead-837f-e6c2bb3ca0a0,1461-1826,1470,male,en ml,mirror_crack,bobby,first,caused,Sophia.,Sophia,
6,108412,11/2/2022 10:23 PM,7b02ca21-99f6-4ead-837f-e6c2bb3ca0a0,1461-1826,1470,male,en ml,mirror_crack,bobby,first,crack,Bobby.,Bobby,
6,108412,11/2/2022 10:23 PM,7b02ca21-99f6-4ead-837f-e6c2bb3ca0a0,1461-1826,1470,male,en ml,fence_break,suzy,first,caused,Suzy.,Suzy,
6,108412,11/2/2022 10:23 PM,7b02ca21-99f6-4ead-837f-e6c2bb3ca0a0,1461-1826,1470,male,en ml,fence_break,suzy,first,break,Suzy.,Suzy,
7,108556,11/3/2022 4:26 PM,a7b61187-1d6b-42b7-8794-677413112e52,1461-1826,1500,male,en,fence_break,andy,second,break,Suzy.,Suzy,
7,108556,11/3/2022 4:26 PM,a7b61187-1d6b-42b7-8794-677413112e52,1461-1826,1500,male,en,fence_break,andy,second,caused,Andy.,Andy,
7,108556,11/3/2022 4:26 PM,a7b61187-1d6b-42b7-8794-677413112e52,1461-1826,1500,male,en,mirror_crack,sophia,second,crack,Bobby.,Bobby,
7,108556,11/3/2022 4:26 PM,a7b61187-1d6b-42b7-8794-677413112e52,1461-1826,1500,male,en,mirror_crack,sophia,second,caused,Bobby.,Bobby,
8,108685,11/4/2022 4:34 PM,2113f5fb-d15d-4583-a01c-da1a75e9a82a,1461-1826,1470,female,en,mirror_crack,sophia,first,caused,Bobby.,Bobby,
8,108685,11/4/2022 4:34 PM,2113f5fb-d15d-4583-a01c-da1a75e9a82a,1461-1826,1470,female,en,mirror_crack,sophia,first,crack,Bobby.,Bobby,
8,108685,11/4/2022 4:34 PM,2113f5fb-d15d-4583-a01c-da1a75e9a82a,1461-1826,1470,female,en,fence_break,andy,second,break,Suzy.,Suzy,
8,108685,11/4/2022 4:34 PM,2113f5fb-d15d-4583-a01c-da1a75e9a82a,1461-1826,1470,female,en,fence_break,andy,second,caused,Suzy.,Suzy,
9,108701,11/4/2022 6:27 PM,8a633bf8-3a41-459e-bfaf-bc567a843a74,1461-1826,1680,male,en,fence_break,suzy,second,break,Andy.,Andy,
9,108701,11/4/2022 6:27 PM,8a633bf8-3a41-459e-bfaf-bc567a843a74,1461-1826,1680,male,en,fence_break,suzy,second,caused,Suzy.,Suzy,
9,108701,11/4/2022 6:27 PM,8a633bf8-3a41-459e-bfaf-bc567a843a74,1461-1826,1680,male,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
9,108701,11/4/2022 6:27 PM,8a633bf8-3a41-459e-bfaf-bc567a843a74,1461-1826,1680,male,en,mirror_crack,bobby,second,caused,Sophia.,Sophia,
10,108742,11/4/2022 10:00 PM,f9eb4c21-9a9a-4e6b-a553-022d33328fa9,1461-1826,1770,male,en,mirror_crack,sophia,second,crack,Bobby.,Bobby,
10,108742,11/4/2022 10:00 PM,f9eb4c21-9a9a-4e6b-a553-022d33328fa9,1461-1826,1770,male,en,mirror_crack,sophia,second,caused,Bobby.,Bobby,
10,108742,11/4/2022 10:00 PM,f9eb4c21-9a9a-4e6b-a553-022d33328fa9,1461-1826,1770,male,en,fence_break,andy,first,caused,Suzy.,Suzy,
10,108742,11/4/2022 10:00 PM,f9eb4c21-9a9a-4e6b-a553-022d33328fa9,1461-1826,1770,male,en,fence_break,andy,first,break,Suzy.,Suzy,
11,108766,11/5/2022 11:38 AM,9563c8d0-ce99-47bc-aa59-4ebd196a2d6a,1461-1826,1800,female,,fence_break,andy,second,break,Andy.,Andy,
11,108766,11/5/2022 11:38 AM,9563c8d0-ce99-47bc-aa59-4ebd196a2d6a,1461-1826,1800,female,,fence_break,andy,second,caused,Andy.,Andy,
11,108766,11/5/2022 11:38 AM,9563c8d0-ce99-47bc-aa59-4ebd196a2d6a,1461-1826,1800,female,,mirror_crack,sophia,first,caused,Bobby.,Bobby,
11,108766,11/5/2022 11:38 AM,9563c8d0-ce99-47bc-aa59-4ebd196a2d6a,1461-1826,1800,female,,mirror_crack,sophia,first,crack,Bobby.,Bobby,
12,108799,11/5/2022 3:17 PM,f967ad6a-3aee-4033-8949-017cde325d4c,1461-1826,1800,male,en wuu,mirror_crack,bobby,second,crack,Sophia.,Sophia,
12,108799,11/5/2022 3:17 PM,f967ad6a-3aee-4033-8949-017cde325d4c,1461-1826,1800,male,en wuu,mirror_crack,bobby,second,caused,Sophia.,Sophia,
12,108799,11/5/2022 3:17 PM,f967ad6a-3aee-4033-8949-017cde325d4c,1461-1826,1800,male,en wuu,fence_break,suzy,second,break,Suzy.,Suzy,
12,108799,11/5/2022 3:17 PM,f967ad6a-3aee-4033-8949-017cde325d4c,1461-1826,1800,male,en wuu,fence_break,suzy,second,caused,Suzy.,Suzy,
13,108808,11/5/2022 4:49 PM,b629f5c0-cca6-40c3-a504-c02036f3dedb,1461-1826,1530,male,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
13,108808,11/5/2022 4:49 PM,b629f5c0-cca6-40c3-a504-c02036f3dedb,1461-1826,1530,male,en,mirror_crack,bobby,second,caused,Sophia.,Sophia,
13,108808,11/5/2022 4:49 PM,b629f5c0-cca6-40c3-a504-c02036f3dedb,1461-1826,1530,male,en,fence_break,suzy,first,caused,Suzy.,Suzy,
13,108808,11/5/2022 4:49 PM,b629f5c0-cca6-40c3-a504-c02036f3dedb,1461-1826,1530,male,en,fence_break,suzy,first,break,Andy.,Andy,
14,108822,11/5/2022 6:54 PM,5f3cfe66-db67-4613-bf1d-465da89b4b67,1461-1826,1770,male,en,mirror_crack,sophia,first,caused,Sophia.,Sophia,
14,108822,11/5/2022 6:54 PM,5f3cfe66-db67-4613-bf1d-465da89b4b67,1461-1826,1770,male,en,mirror_crack,sophia,first,crack,Bobby.,Bobby,
14,108822,11/5/2022 6:54 PM,5f3cfe66-db67-4613-bf1d-465da89b4b67,1461-1826,1770,male,en,fence_break,andy,second,break,Suzy.,Suzy,
14,108822,11/5/2022 6:54 PM,5f3cfe66-db67-4613-bf1d-465da89b4b67,1461-1826,1770,male,en,fence_break,andy,second,caused,Andy.,Andy,
15,108824,11/5/2022 7:32 PM,29c4194d-580d-40c3-9bea-4df6b8c211a1,1461-1826,1650,male,en,mirror_crack,sophia,second,crack,"This bobby. This, Bobby.",Bobby,
15,108824,11/5/2022 7:32 PM,29c4194d-580d-40c3-9bea-4df6b8c211a1,1461-1826,1650,male,en,mirror_crack,sophia,second,caused,This. Sophia.,Sophia,
15,108824,11/5/2022 7:32 PM,29c4194d-580d-40c3-9bea-4df6b8c211a1,1461-1826,1650,male,en,fence_break,andy,second,break,That. Suzy.,Suzy,
15,108824,11/5/2022 7:32 PM,29c4194d-580d-40c3-9bea-4df6b8c211a1,1461-1826,1650,male,en,fence_break,andy,second,caused,Suzy.,Suzy,
16,108881,11/6/2022 9:26 AM,01e15a29-9fb2-45f7-b76f-cfb62044c8b4,1461-1826,1740,male,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
16,108881,11/6/2022 9:26 AM,01e15a29-9fb2-45f7-b76f-cfb62044c8b4,1461-1826,1740,male,en,mirror_crack,bobby,second,caused,Bobby.,Bobby,
16,108881,11/6/2022 9:26 AM,01e15a29-9fb2-45f7-b76f-cfb62044c8b4,1461-1826,1740,male,en,fence_break,suzy,second,break,Andy.,Andy,
16,108881,11/6/2022 9:26 AM,01e15a29-9fb2-45f7-b76f-cfb62044c8b4,1461-1826,1740,male,en,fence_break,suzy,second,caused,Suzy.,Suzy,
17,108882,11/6/2022 9:27 AM,09abab60-9496-40a8-9f36-a62e4a4655f4,1461-1826,1710,female,en,mirror_crack,bobby,second,crack,Bobby.,Bobby,
17,108882,11/6/2022 9:27 AM,09abab60-9496-40a8-9f36-a62e4a4655f4,1461-1826,1710,female,en,mirror_crack,bobby,second,caused,Bobby.,Bobby,
17,108882,11/6/2022 9:27 AM,09abab60-9496-40a8-9f36-a62e4a4655f4,1461-1826,1710,female,en,fence_break,suzy,first,caused,Andy.,Andy,
17,108882,11/6/2022 9:27 AM,09abab60-9496-40a8-9f36-a62e4a4655f4,1461-1826,1710,female,en,fence_break,suzy,first,break,Suzy.,Suzy,
18,108941,11/6/2022 5:27 PM,26945186-634c-423e-aad9-d906fe83d960,1461-1826,1620,female,,fence_break,suzy,first,caused,Suzy.,Suzy,
18,108941,11/6/2022 5:27 PM,26945186-634c-423e-aad9-d906fe83d960,1461-1826,1620,female,,fence_break,suzy,first,break,Suzy.,Suzy,
18,108941,11/6/2022 5:27 PM,26945186-634c-423e-aad9-d906fe83d960,1461-1826,1620,female,,mirror_crack,bobby,second,crack,Sophia.,Sophia,
18,108941,11/6/2022 5:27 PM,26945186-634c-423e-aad9-d906fe83d960,1461-1826,1620,female,,mirror_crack,bobby,second,caused,Bobby.,Bobby,
19,108945,11/6/2022 5:38 PM,63d9d1d4-1b3c-4637-96b3-8beff01d5d4e,1461-1826,2220,female,,mirror_crack,bobby,first,caused,Bobby.,Bobby,
19,108945,11/6/2022 5:38 PM,63d9d1d4-1b3c-4637-96b3-8beff01d5d4e,1461-1826,2220,female,,mirror_crack,bobby,first,crack,Sophia.,Sophia,
19,108945,11/6/2022 5:38 PM,63d9d1d4-1b3c-4637-96b3-8beff01d5d4e,1461-1826,2220,female,,fence_break,suzy,second,break,Andy.,Andy,
19,108945,11/6/2022 5:38 PM,63d9d1d4-1b3c-4637-96b3-8beff01d5d4e,1461-1826,2220,female,,fence_break,suzy,second,caused,Suzy.,Suzy,
20,109656,11/11/2022 1:23 PM,fc70ed24-95ac-454d-ace2-e2fe77bec83f,1461-1826,1590,female,en ur,mirror_crack,sophia,first,caused,Bobby.,Bobby,
20,109656,11/11/2022 1:23 PM,fc70ed24-95ac-454d-ace2-e2fe77bec83f,1461-1826,1590,female,en ur,mirror_crack,sophia,first,crack,Sophia.,Sophia,
20,109656,11/11/2022 1:23 PM,fc70ed24-95ac-454d-ace2-e2fe77bec83f,1461-1826,1590,female,en ur,fence_break,andy,first,caused,Suzy did it.,Suzy,
20,109656,11/11/2022 1:23 PM,fc70ed24-95ac-454d-ace2-e2fe77bec83f,1461-1826,1590,female,en ur,fence_break,andy,first,break,Suzy did it.,Suzy,
21,109728,11/11/2022 6:09 PM,fe5d9df8-fc4f-4f05-896d-d6b50d4c676b,1461-1826,1710, male,en,fence_break,suzy,first,caused,Maggie.,Maggie,
21,109728,11/11/2022 6:09 PM,fe5d9df8-fc4f-4f05-896d-d6b50d4c676b,1461-1826,1710, male,en,fence_break,suzy,first,break,The people on the bike.,unsure,
21,109728,11/11/2022 6:09 PM,fe5d9df8-fc4f-4f05-896d-d6b50d4c676b,1461-1826,1710, male,en,mirror_crack,bobby,first,caused,Bobby.,Bobby,
21,109728,11/11/2022 6:09 PM,fe5d9df8-fc4f-4f05-896d-d6b50d4c676b,1461-1826,1710, male,en,mirror_crack,bobby,first,crack,Sophia.,Sophia,
22,109734,11/11/2022 6:44 PM,574fc72d-3af9-4b93-ac78-97f7a70e1c47,1461-1826,1470, male,en,fence_break,andy,second,break,Suzy.,Suzy,
22,109734,11/11/2022 6:44 PM,574fc72d-3af9-4b93-ac78-97f7a70e1c47,1461-1826,1470, male,en,fence_break,andy,second,caused,Andy.,Andy,
22,109734,11/11/2022 6:44 PM,574fc72d-3af9-4b93-ac78-97f7a70e1c47,1461-1826,1470, male,en,mirror_crack,sophia,first,caused,Sophia did it.,Sophia,
22,109734,11/11/2022 6:44 PM,574fc72d-3af9-4b93-ac78-97f7a70e1c47,1461-1826,1470, male,en,mirror_crack,sophia,first,crack,Sophia.,Sophia,
23,109814,11/12/2022 1:56 PM,e32ece9a-9532-4164-b4d6-b8c059d65483,1461-1826,1800,female,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
23,109814,11/12/2022 1:56 PM,e32ece9a-9532-4164-b4d6-b8c059d65483,1461-1826,1800,female,en,mirror_crack,bobby,second,caused,Sophia.,Sophia,
23,109814,11/12/2022 1:56 PM,e32ece9a-9532-4164-b4d6-b8c059d65483,1461-1826,1800,female,en,fence_break,suzy,second,break,Andy.,Andy,
23,109814,11/12/2022 1:56 PM,e32ece9a-9532-4164-b4d6-b8c059d65483,1461-1826,1800,female,en,fence_break,suzy,second,caused,Andy.,Andy,
24,109831,11/12/2022 2:48 PM,45a194d6-9622-4647-a7db-e5add7cfd03d,1461-1826,1470, male,en,mirror_crack,sophia,second,crack,Bobby.,Bobby,
24,109831,11/12/2022 2:48 PM,45a194d6-9622-4647-a7db-e5add7cfd03d,1461-1826,1470, male,en,mirror_crack,sophia,second,caused,Bobby.,Bobby,
24,109831,11/12/2022 2:48 PM,45a194d6-9622-4647-a7db-e5add7cfd03d,1461-1826,1470, male,en,fence_break,andy,first,caused,Suzy.,Suzy,
24,109831,11/12/2022 2:48 PM,45a194d6-9622-4647-a7db-e5add7cfd03d,1461-1826,1470, male,en,fence_break,andy,first,break,Suzy.,Suzy,
25,109837,11/12/2022 3:41 PM,97215712-a3c2-4f26-a972-a345f91e7e7d,1461-1826,1650,female,en so,mirror_crack,bobby,first,caused,Bobby.,Bobby,
25,109837,11/12/2022 3:41 PM,97215712-a3c2-4f26-a972-a345f91e7e7d,1461-1826,1650,female,en so,mirror_crack,bobby,first,crack,Sophia.,Sophia,
25,109837,11/12/2022 3:41 PM,97215712-a3c2-4f26-a972-a345f91e7e7d,1461-1826,1650,female,en so,fence_break,suzy,second,break,Andy did.,Andy,
25,109837,11/12/2022 3:41 PM,97215712-a3c2-4f26-a972-a345f91e7e7d,1461-1826,1650,female,en so,fence_break,suzy,second,caused,Suzy.,Suzy,
26,109839,11/12/2022 3:59 PM,20ba1fde-d815-4c02-93e4-b3b72d33e9ed,1461-1826,1590,female,en,mirror_crack,sophia,first,caused,"um, I don't know. Sophia.",Sophia,
26,109839,11/12/2022 3:59 PM,20ba1fde-d815-4c02-93e4-b3b72d33e9ed,1461-1826,1590,female,en,mirror_crack,sophia,first,crack,Sophia.,Sophia,
26,109839,11/12/2022 3:59 PM,20ba1fde-d815-4c02-93e4-b3b72d33e9ed,1461-1826,1590,female,en,fence_break,andy,first,caused,What's the name? Andy.,Andy,
26,109839,11/12/2022 3:59 PM,20ba1fde-d815-4c02-93e4-b3b72d33e9ed,1461-1826,1590,female,en,fence_break,andy,first,break,Andy.,Andy,
27,109850,11/12/2022 5:31 PM,cc5b2f32-5574-4fbc-91a6-7d3956d99131,1461-1826,1560,female,en ro,mirror_crack,bobby,first,caused,Sophia.,Sophia,
27,109850,11/12/2022 5:31 PM,cc5b2f32-5574-4fbc-91a6-7d3956d99131,1461-1826,1560,female,en ro,mirror_crack,bobby,first,crack,Sophia.,Sophia,
27,109850,11/12/2022 5:31 PM,cc5b2f32-5574-4fbc-91a6-7d3956d99131,1461-1826,1560,female,en ro,fence_break,suzy,first,caused,Andy.,Andy,
27,109850,11/12/2022 5:31 PM,cc5b2f32-5574-4fbc-91a6-7d3956d99131,1461-1826,1560,female, en ro,fence_break,suzy,first,break,Andy.,Andy,
28,109938,11/13/2022 9:25 PM,e16a5994-8459-43c3-b051-f91cae5d0f8a,1461-1826,1680,female,en de,fence_break,suzy,second,break,Andy.,Andy,
28,109938,11/13/2022 9:25 PM,e16a5994-8459-43c3-b051-f91cae5d0f8a,1461-1826,1680,female,en de,fence_break,suzy,second,caused,Suzy.,Suzy,
28,109938,11/13/2022 9:25 PM,e16a5994-8459-43c3-b051-f91cae5d0f8a,1461-1826,1680,female,en de,mirror_crack,bobby,second,crack,sophia.,Sophia,
28,109938,11/13/2022 9:25 PM,e16a5994-8459-43c3-b051-f91cae5d0f8a,1461-1826,1680,female,en de,mirror_crack,bobby,second,caused,Bobby.,Bobby,
29,110600,11/18/2022 5:24 PM,5c6f3e4a-8699-43ac-b915-1fde71c67aec,1461-1826,1800,female,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
29,110600,11/18/2022 5:24 PM,5c6f3e4a-8699-43ac-b915-1fde71c67aec,1461-1826,1800,female,en,mirror_crack,bobby,second,caused,Sophia.,Sophia,
29,110600,11/18/2022 5:24 PM,5c6f3e4a-8699-43ac-b915-1fde71c67aec,1461-1826,1800,female,en,fence_break,suzy,first,caused,Suzy.,Suzy,
29,110600,11/18/2022 5:24 PM,5c6f3e4a-8699-43ac-b915-1fde71c67aec,1461-1826,1800,female,en,fence_break,suzy,first,break,Andy.,Andy,
30,110616,11/18/2022 7:10 PM,88290c56-c2c2-4e51-90e9-944b760bc942,1461-1826,1800,male,en,fence_break,andy,second,break,Suzy.,Suzy,
30,110616,11/18/2022 7:10 PM,88290c56-c2c2-4e51-90e9-944b760bc942,1461-1826,1800,male,en,fence_break,andy,second,caused,The guy who is riding his bicycle.,Andy,
30,110616,11/18/2022 7:10 PM,88290c56-c2c2-4e51-90e9-944b760bc942,1461-1826,1800,male,en,mirror_crack,sophia,second,crack,Bobby.,Bobby,
30,110616,11/18/2022 7:10 PM,88290c56-c2c2-4e51-90e9-944b760bc942,1461-1826,1800,male,en,mirror_crack,sophia,second,caused,Sophia.,Sophia,
31,108132,11/1/2022 2:29 PM,64a8b792-5777-4b6b-8b0b-fa180e2ec63b,1826-2191,2190,male,en km,fence_break,suzy,second,break,Andy.,Andy,
31,108132,11/1/2022 2:29 PM,64a8b792-5777-4b6b-8b0b-fa180e2ec63b,1826-2191,2190,male,en km,fence_break,suzy,second,caused,Suzy.,Suzy,
31,108132,11/1/2022 2:29 PM,64a8b792-5777-4b6b-8b0b-fa180e2ec63b,1826-2191,2190,male,en km,mirror_crack,bobby,second,crack,Sophia.,Sophia,
31,108132,11/1/2022 2:29 PM,64a8b792-5777-4b6b-8b0b-fa180e2ec63b,1826-2191,2190,male,en km,mirror_crack,bobby,second,caused,Bobby.,Bobby,
32,108165,11/1/2022 5:12 PM,8093faf1-831e-4c98-94e3-1d9c05162a05,1826-2191,1890,male,en,mirror_crack,bobby,first,caused,Bobby.,Bobby,
32,108165,11/1/2022 5:12 PM,8093faf1-831e-4c98-94e3-1d9c05162a05,1826-2191,1890,male,en,mirror_crack,bobby,first,crack,Bobby.,Bobby,
32,108165,11/1/2022 5:12 PM,8093faf1-831e-4c98-94e3-1d9c05162a05,1826-2191,1890,male,en,fence_break,suzy,first,caused,Suzy.,Suzy,
32,108165,11/1/2022 5:12 PM,8093faf1-831e-4c98-94e3-1d9c05162a05,1826-2191,1890,male,en,fence_break,suzy,first,break,Suzy.,Suzy,
33,108169,11/1/2022 5:31 PM,070e70af-77d7-42bd-880c-3c81785a4c29,1826-2191,2070,male,en,fence_break,andy,first,caused,Andy.,Andy,
33,108169,11/1/2022 5:31 PM,070e70af-77d7-42bd-880c-3c81785a4c29,1826-2191,2070,male,en,fence_break,andy,first,break,Andy.,Andy,
33,108169,11/1/2022 5:31 PM,070e70af-77d7-42bd-880c-3c81785a4c29,1826-2191,2070,male,en,mirror_crack,sophia,second,crack,Bobby.,Bobby,
33,108169,11/1/2022 5:31 PM,070e70af-77d7-42bd-880c-3c81785a4c29,1826-2191,2070,male,en,mirror_crack,sophia,second,caused,Sophia.,Sophia,
34,108174,11/1/2022 6:11 PM,d1e29a28-c128-4e90-b3c7-e23a6e148567,1826-2191,1830,female,en,fence_break,suzy,second,break,Andy.,Andy,
34,108174,11/1/2022 6:11 PM,d1e29a28-c128-4e90-b3c7-e23a6e148567,1826-2191,1830,female,en,fence_break,suzy,second,caused,The bicycle. Suzy.,Suzy,
34,108174,11/1/2022 6:11 PM,d1e29a28-c128-4e90-b3c7-e23a6e148567,1826-2191,1830,female,en,mirror_crack,bobby,first,caused,"He said ""boo"" and then the girl fell into the mirror. The boy. Bobby.",Bobby,
34,108174,11/1/2022 6:11 PM,d1e29a28-c128-4e90-b3c7-e23a6e148567,1826-2191,1830,female,en,mirror_crack,bobby,first,crack,Sophia.,Sophia,
35,108390,11/2/2022 7:19 PM,	3e4a5c0e-cf31-4d05-9e2f-91c2d7689772,1826-2191,1950,male,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
35,108390,11/2/2022 7:19 PM,	3e4a5c0e-cf31-4d05-9e2f-91c2d7689772,1826-2191,1950,male,en,mirror_crack,bobby,second,caused,Sophia.,Sophia,
35,108390,11/2/2022 7:19 PM,	3e4a5c0e-cf31-4d05-9e2f-91c2d7689772,1826-2191,1950,male,en,fence_break,suzy,first,caused,Bobby.,Bobby,
35,108390,11/2/2022 7:19 PM,	3e4a5c0e-cf31-4d05-9e2f-91c2d7689772,1826-2191,1950,male,en,fence_break,suzy,first,break,Bobby.,Bobby,
36,108396,11/2/2022 7:45 PM,ddb8ea79-ca89-4497-8454-1de9a204dcfb,1826-2191,2160,male,en,fence_break,andy,first,caused,Suzy.,Suzy,
36,108396,11/2/2022 7:45 PM,ddb8ea79-ca89-4497-8454-1de9a204dcfb,1826-2191,2160,male,en,fence_break,andy,first,break,Andy broke the fence.,Andy,
36,108396,11/2/2022 7:45 PM,ddb8ea79-ca89-4497-8454-1de9a204dcfb,1826-2191,2160,male,en,mirror_crack,sophia,second,crack,It was Bobby.,Bobby,
36,108396,11/2/2022 7:45 PM,ddb8ea79-ca89-4497-8454-1de9a204dcfb,1826-2191,2160,male,en,mirror_crack,sophia,second,caused,Bobby.,Bobby,
37,108404,11/2/2022 8:19 PM,e8e98ad2-8a80-4e37-8fa4-22e666c6de03,1826-2191,2070,male,en km so,mirror_crack,bobby,first,caused,Bobby.,Bobby,
37,108404,11/2/2022 8:19 PM,e8e98ad2-8a80-4e37-8fa4-22e666c6de03,1826-2191,2070,male,en km so,mirror_crack,bobby,first,crack,Bobby.,Bobby,
37,108404,11/2/2022 8:19 PM,e8e98ad2-8a80-4e37-8fa4-22e666c6de03,1826-2191,2070,male,en km so,fence_break,suzy,second,break,Suzy.,Suzy,
37,108404,11/2/2022 8:19 PM,e8e98ad2-8a80-4e37-8fa4-22e666c6de03,1826-2191,2070,male,en km so,fence_break,suzy,second,caused,Suzy.,Suzy,
38,108540,11/3/2022 3:04 PM,310556f7-7753-4d54-b9f4-14e7bd5d55e8,1826-2191,1860,female,en ro,mirror_crack,sophia,second,crack,Bobby.,Bobby,
38,108540,11/3/2022 3:04 PM,310556f7-7753-4d54-b9f4-14e7bd5d55e8,1826-2191,1860,female,en ro,mirror_crack,sophia,second,caused,Bobby.,Bobby,
38,108540,11/3/2022 3:04 PM,310556f7-7753-4d54-b9f4-14e7bd5d55e8,1826-2191,1860,female,en ro,fence_break,andy,second,break,Suzy.,Suzy,
38,108540,11/3/2022 3:04 PM,310556f7-7753-4d54-b9f4-14e7bd5d55e8,1826-2191,1860,female,en ro,fence_break,andy,second,caused,Suzy.,Suzy,
39,108584,11/3/2022 10:02 PM,699cdb62-e96a-433c-9034-fd54c832260f,1826-2191,2040,female,en he,mirror_crack,bobby,first,caused,Sophia.,Sophia,
39,108584,11/3/2022 10:02 PM,699cdb62-e96a-433c-9034-fd54c832260f,1826-2191,2040,female,en he,mirror_crack,bobby,first,crack,Sophia.,Sophia,
39,108584,11/3/2022 10:02 PM,699cdb62-e96a-433c-9034-fd54c832260f,1826-2191,2040,female,en he,fence_break,suzy,second,break,Andy.,Andy,
39,108584,11/3/2022 10:02 PM,699cdb62-e96a-433c-9034-fd54c832260f,1826-2191,2040,female, en he,fence_break,suzy,second,caused,Suzy.,Suzy,
40,108678,11/4/2022 4:27 PM,1cb93b6c-c8d5-48d6-84ae-563a5fcb3e9a,1826-2191,2070,female,en ,mirror_crack,bobby,second,crack,Sophia.,Sophia,
40,108678,11/4/2022 4:27 PM,1cb93b6c-c8d5-48d6-84ae-563a5fcb3e9a,1826-2191,2070,female,en,mirror_crack,bobby,second,caused,Bobby.,Bobby,
40,108678,11/4/2022 4:27 PM,1cb93b6c-c8d5-48d6-84ae-563a5fcb3e9a,1826-2191,2070,female,en,fence_break,suzy,second,break,Andy.,Andy,
