workerid,proliferate.condition,internal_node_id,responses,rt,time_elapsed,trial_index,trial_type,participants.age,participants.ethnicity,participants.feedback,participants.gender,participants.race,participants.time,error
996,condition 1,0.0-3.0,"{""flood_made_response"":""The basement flooded because the window was open while it was raining outside. ""}",27868,202705,25,survey-text,23,Non-Hispanic,"When deciding how to respond, I tried to take the questions literally. Instead of blaming the people in each scenario for making common mistakes, I wanted to focus more on what happened exactly before the disastrous event and not what led up to it. Both instances were an accident. 


I really enjoyed my time during this survey. The tasks were simple yet engaging. This survey felt fun instead of mind-numbing like most others. I experienced no difficulties during my time. ",Female,Black/African American,192777.6,
996,condition 1,0.0-4.0,"{""flood_simple_response"":""The water from the rain piled up and eventually flooded the basement. ""}",36972.6,239944,26,survey-text,23,Non-Hispanic,"When deciding how to respond, I tried to take the questions literally. Instead of blaming the people in each scenario for making common mistakes, I wanted to focus more on what happened exactly before the disastrous event and not what led up to it. Both instances were an accident. 


I really enjoyed my time during this survey. The tasks were simple yet engaging. This survey felt fun instead of mind-numbing like most others. I experienced no difficulties during my time. ",Female,Black/African American,192777.6,
996,condition 1,0.0-7.0,"{""sunburn_made_response"":""The sun made Suzy's skin burn. ""}",22903.3,327872,42,survey-text,23,Non-Hispanic,"When deciding how to respond, I tried to take the questions literally. Instead of blaming the people in each scenario for making common mistakes, I wanted to focus more on what happened exactly before the disastrous event and not what led up to it. Both instances were an accident. 


I really enjoyed my time during this survey. The tasks were simple yet engaging. This survey felt fun instead of mind-numbing like most others. I experienced no difficulties during my time. ",Female,Black/African American,192777.6,
996,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The sun burned Suzy's skin. ""}",32006.5,360143,43,survey-text,23,Non-Hispanic,"When deciding how to respond, I tried to take the questions literally. Instead of blaming the people in each scenario for making common mistakes, I wanted to focus more on what happened exactly before the disastrous event and not what led up to it. Both instances were an accident. 


I really enjoyed my time during this survey. The tasks were simple yet engaging. This survey felt fun instead of mind-numbing like most others. I experienced no difficulties during my time. ",Female,Black/African American,192777.6,
956,condition 1,0.0-3.0,"{""flood_made_response"":""The window being broken and rain leaking in""}",42969.6,181513,25,survey-text,26,Non-Hispanic,The cute illustrations and being in little space,Non-binary,Black/African American,55773.6,
956,condition 1,0.0-4.0,"{""flood_simple_response"":""The window latch broken""}",15045.1,196815,26,survey-text,26,Non-Hispanic,The cute illustrations and being in little space,Non-binary,Black/African American,55773.6,
956,condition 1,0.0-7.0,"{""sunburn_made_response"":""She forgot her sunscreen at home""}",18464.8,269283,42,survey-text,26,Non-Hispanic,The cute illustrations and being in little space,Non-binary,Black/African American,55773.6,
956,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The sun""}",7364.8,276903,43,survey-text,26,Non-Hispanic,The cute illustrations and being in little space,Non-binary,Black/African American,55773.6,
959,condition 1,0.0-3.0,"{""flood_made_response"":""The window latch was broken, it rained, and flooded the basement.""}",13224,57697,25,survey-text,56,Non-Hispanic,none,Female,White,9485.7,
959,condition 1,0.0-4.0,"{""flood_simple_response"":""The rain flooded the basement.""}",7205.8,65156,26,survey-text,56,Non-Hispanic,none,Female,White,9485.7,
959,condition 1,0.0-7.0,"{""sunburn_made_response"":""Suzy forgot her sunscreen at home and did not wear it at the beach.""}",14605.1,98386,42,survey-text,56,Non-Hispanic,none,Female,White,9485.7,
959,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The sun burned Suzy's skin.""}",7320,105964,43,survey-text,56,Non-Hispanic,none,Female,White,9485.7,
986,condition 1,0.0-3.0,"{""flood_made_response"":""Due to the window opening because the latch was broken, it caused water to enter the basement and create a flood.""}",33814.2,124162,25,survey-text,20,Hispanic,The visuals,Female,,16609.8,
986,condition 1,0.0-4.0,"{""flood_simple_response"":""Water flooded the basement""}",9806.1,134221,26,survey-text,20,Hispanic,The visuals,Female,,16609.8,
986,condition 1,0.0-7.0,"{""sunburn_made_response"":""The Sun.""}",8094.1,178316,42,survey-text,20,Hispanic,The visuals,Female,,16609.8,
986,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The heat from the Sun""}",7858.7,186431,43,survey-text,20,Hispanic,The visuals,Female,,16609.8,
987,condition 1,0.0-3.0,"{""flood_simple_response"":""water""}",11646,233128,25,survey-text,33,Hispanic,I just tried to answer factually.,Male,White,95396.5,
987,condition 1,0.0-4.0,"{""flood_made_response"":""leaving the window open""}",12931.3,246317,26,survey-text,33,Hispanic,I just tried to answer factually.,Male,White,95396.5,
987,condition 1,0.0-7.0,"{""sunburn_simple_response"":""the sun""}",8081.3,346389,42,survey-text,33,Hispanic,I just tried to answer factually.,Male,White,95396.5,
987,condition 1,0.0-8.0,"{""sunburn_made_response"":""being in the sun without her sun screen""}",23841.5,370487,43,survey-text,33,Hispanic,I just tried to answer factually.,Male,White,95396.5,
989,condition 1,0.0-3.0,"{""flood_made_response"":""The rain made the basement flood.""}",18640,100393,25,survey-text,27,Hispanic,n/a,Female,White,17988,
989,condition 1,0.0-4.0,"{""flood_simple_response"":""The rain water made the basement flood.""}",13762,114408,26,survey-text,27,Hispanic,n/a,Female,White,17988,
989,condition 1,0.0-7.0,"{""sunburn_made_response"":""The sun made Suzys skin burn""}",13383,160032,42,survey-text,27,Hispanic,n/a,Female,White,17988,
989,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The sun burnt Suzy's skin""}",10526,170810,43,survey-text,27,Hispanic,n/a,Female,White,17988,
971,condition 1,0.0-3.0,"{""sunburn_made_response"":""She forgot her sunscreen.""}",12026.5,68504,16,survey-text,21,Non-Hispanic,I had to pay extra attention to why/what happened.,Female,White,40008.3,
971,condition 1,0.0-4.0,"{""sunburn_simple_response"":""The sun.""}",8159.6,76915,17,survey-text,21,Non-Hispanic,I had to pay extra attention to why/what happened.,Female,White,40008.3,
971,condition 1,0.0-7.0,"{""flood_made_response"":""He left the window open to go fix the latch.""}",20995,161714,42,survey-text,21,Non-Hispanic,I had to pay extra attention to why/what happened.,Female,White,40008.3,
971,condition 1,0.0-8.0,"{""flood_simple_response"":""The rain from outside.""}",9205.1,171171,43,survey-text,21,Non-Hispanic,I had to pay extra attention to why/what happened.,Female,White,40008.3,
1000,condition 1,0.0-3.0,"{""flood_made_response"":""The water from the rain flooded the basement due to the windows being wide open because Andy took the broken latch off. ""}",114092.5,239640,25,survey-text,23,Non-Hispanic,N/A,Female,White,27896.3,
1000,condition 1,0.0-4.0,"{""flood_simple_response"":""the windows are open""}",24454.4,264355,26,survey-text,23,Non-Hispanic,N/A,Female,White,27896.3,
1000,condition 1,0.0-7.0,"{""sunburn_made_response"":""She forgot sunscreen""}",15913,316474,42,survey-text,23,Non-Hispanic,N/A,Female,White,27896.3,
1000,condition 1,0.0-8.0,"{""sunburn_simple_response"":""She forgot sunscreen""}",18948.1,335689,43,survey-text,23,Non-Hispanic,N/A,Female,White,27896.3,
981,condition 1,0.0-3.0,"{""sunburn_made_response"":""The sun. She did not apply sunscreen.""}",23620.9,63972,16,survey-text,21,Non-Hispanic,The wording of the question and my mindset around it.,Female,White,34705.1,
981,condition 1,0.0-4.0,"{""sunburn_simple_response"":""the sun""}",6775.7,71013,17,survey-text,21,Non-Hispanic,The wording of the question and my mindset around it.,Female,White,34705.1,
981,condition 1,0.0-7.0,"{""flood_made_response"":""the rain ""}",7162.3,133429,42,survey-text,21,Non-Hispanic,The wording of the question and my mindset around it.,Female,White,34705.1,
981,condition 1,0.0-8.0,"{""flood_simple_response"":""the rain""}",5965.5,139648,43,survey-text,21,Non-Hispanic,The wording of the question and my mindset around it.,Female,White,34705.1,
991,condition 1,0.0-3.0,"{""sunburn_made_response"":""The sun""}",5600.6,95111,16,survey-text,36,Non-Hispanic,Having a choice in the matter was the deciding factor for me.  No issues with the survey / slideshow thing,Male,White,26805.9,
991,condition 1,0.0-4.0,"{""sunburn_simple_response"":""The sun""}",5002.2,100371,17,survey-text,36,Non-Hispanic,Having a choice in the matter was the deciding factor for me.  No issues with the survey / slideshow thing,Male,White,26805.9,
991,condition 1,0.0-7.0,"{""flood_made_response"":""The broken latch""}",25544.8,227787,42,survey-text,36,Non-Hispanic,Having a choice in the matter was the deciding factor for me.  No issues with the survey / slideshow thing,Male,White,26805.9,
991,condition 1,0.0-8.0,"{""flood_simple_response"":""The latch""}",5446.8,233487,43,survey-text,36,Non-Hispanic,Having a choice in the matter was the deciding factor for me.  No issues with the survey / slideshow thing,Male,White,26805.9,
944,condition 1,0.0-3.0,"{""sunburn_made_response"":""The sun made gave her a sunburn.""}",18797.8,73038,16,survey-text,19,,The scenarios influenced my responses.,Female,Asian,29099.5,
944,condition 1,0.0-4.0,"{""sunburn_simple_response"":""The sun burned her skin.""}",14141.4,87438,17,survey-text,19,,The scenarios influenced my responses.,Female,Asian,29099.5,
944,condition 1,0.0-7.0,"{""flood_made_response"":""The window was left opened, and the rain got in and started to flood the basement.""}",34056.3,181654,42,survey-text,19,,The scenarios influenced my responses.,Female,Asian,29099.5,
944,condition 1,0.0-8.0,"{""flood_simple_response"":""The rain that got in.""}",8021.9,189933,43,survey-text,19,,The scenarios influenced my responses.,Female,Asian,29099.5,
965,condition 1,0.0-3.0,"{""sunburn_made_response"":""UV rays.""}",17938,28750,16,survey-text,32,Non-Hispanic,,Female,White,9330,
965,condition 1,0.0-4.0,"{""sunburn_simple_response"":""Exposure to the sun's UV rays.""}",21061,50070,17,survey-text,32,Non-Hispanic,,Female,White,9330,
965,condition 1,0.0-7.0,"{""flood_made_response"":""Rainwater.""}",12216,75287,42,survey-text,32,Non-Hispanic,,Female,White,9330,
965,condition 1,0.0-8.0,"{""flood_simple_response"":""Lots of rainwater.""}",18326,93879,43,survey-text,32,Non-Hispanic,,Female,White,9330,
978,condition 1,0.0-3.0,"{""flood_made_response"":""The rising rain water was allowed to flow into the basement because the window was open.""}",36383.5,227903,25,survey-text,65,Non-Hispanic,I read the question and attempted to answer it to the best of my ability. I do not have any questions or comments.,Female,White,52957.4,
978,condition 1,0.0-4.0,"{""flood_simple_response"":""The rising rainwater flooded the basement.""}",17825.1,245988,26,survey-text,65,Non-Hispanic,I read the question and attempted to answer it to the best of my ability. I do not have any questions or comments.,Female,White,52957.4,
978,condition 1,0.0-7.0,"{""sunburn_made_response"":""The exposure to bright sunshine caused Suzy's unprotected skin to burn.""}",63030,361125,42,survey-text,65,Non-Hispanic,I read the question and attempted to answer it to the best of my ability. I do not have any questions or comments.,Female,White,52957.4,
978,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The bright sunshine burned Suzy's skin.""}",49014,410397,43,survey-text,65,Non-Hispanic,I read the question and attempted to answer it to the best of my ability. I do not have any questions or comments.,Female,White,52957.4,
980,condition 1,0.0-3.0,"{""sunburn_made_response"":""forgot sunscreen""}",12959.9,57978,16,survey-text,30,Non-Hispanic,,Non-binary,White,11478.4,
980,condition 1,0.0-4.0,"{""sunburn_simple_response"":""sun""}",6424.9,64658,17,survey-text,30,Non-Hispanic,,Non-binary,White,11478.4,
980,condition 1,0.0-7.0,"{""flood_made_response"":""the rain gettin in the open window""}",16704.6,132771,42,survey-text,30,Non-Hispanic,,Non-binary,White,11478.4,
980,condition 1,0.0-8.0,"{""flood_simple_response"":""rain water""}",6293.4,139319,43,survey-text,30,Non-Hispanic,,Non-binary,White,11478.4,
947,condition 1,0.0-3.0,"{""sunburn_simple_response"":""The sun""}",5478.8,40366,16,survey-text,26,Non-Hispanic,,Female,White,12367,
947,condition 1,0.0-4.0,"{""sunburn_made_response"":""BC she did not wear her sunscreen ""}",11842.8,52474,17,survey-text,26,Non-Hispanic,,Female,White,12367,
947,condition 1,0.0-7.0,"{""flood_simple_response"":""The rain""}",6150.5,102626,42,survey-text,26,Non-Hispanic,,Female,White,12367,
947,condition 1,0.0-8.0,"{""flood_made_response"":""The rain bc the window was open.""}",11072.5,113965,43,survey-text,26,Non-Hispanic,,Female,White,12367,
954,condition 1,0.0-3.0,"{""sunburn_simple_response"":""the sun""}",6426.1,55564,16,survey-text,30,Non-Hispanic,None,Female,White,15222.5,
954,condition 1,0.0-4.0,"{""sunburn_made_response"":""She didn't wear sunscreen""}",7223.6,63042,17,survey-text,30,Non-Hispanic,None,Female,White,15222.5,
954,condition 1,0.0-7.0,"{""flood_simple_response"":""The rain""}",4309.5,116477,42,survey-text,30,Non-Hispanic,None,Female,White,15222.5,
954,condition 1,0.0-8.0,"{""flood_made_response"":""The window was open because the latch wasn't on it (it was broken), so the basement flooded""}",17112,133845,43,survey-text,30,Non-Hispanic,None,Female,White,15222.5,
1005,condition 1,0.0-3.0,"{""flood_simple_response"":""Water from the heavy rain coming in through the basement window. The window was left open because the latch was removed to be fixed.""}",26847.2,178243,25,survey-text,42,Non-Hispanic,The only factors I think that influenced my responses was the stories themselves and what I know of how basic concepts work as to why certain things happened.,Male,White,51873.7,
1005,condition 1,0.0-4.0,"{""flood_made_response"":""The fact that the window was left open with nothing securing it because the latch was removed to be fixed.""}",23147.1,201638,26,survey-text,42,Non-Hispanic,The only factors I think that influenced my responses was the stories themselves and what I know of how basic concepts work as to why certain things happened.,Male,White,51873.7,
1005,condition 1,0.0-7.0,"{""sunburn_simple_response"":""Prolonged exposure to the sun with insufficient protection.""}",25354.6,269677,42,survey-text,42,Non-Hispanic,The only factors I think that influenced my responses was the stories themselves and what I know of how basic concepts work as to why certain things happened.,Male,White,51873.7,
1005,condition 1,0.0-8.0,"{""sunburn_made_response"":""The radiation from the sun due to being overexposed and under-protected from it.""}",33287.6,303242,43,survey-text,42,Non-Hispanic,The only factors I think that influenced my responses was the stories themselves and what I know of how basic concepts work as to why certain things happened.,Male,White,51873.7,
948,condition 1,0.0-3.0,"{""flood_made_response"":""The rain and broken latch""}",11168.4,70873,25,survey-text,30,Non-Hispanic,"just what happened, nothing really external",Female,White,22738.7,
948,condition 1,0.0-4.0,"{""flood_simple_response"":""Rain/ water""}",7717.9,78845,26,survey-text,30,Non-Hispanic,"just what happened, nothing really external",Female,White,22738.7,
948,condition 1,0.0-7.0,"{""sunburn_made_response"":""sun exposure and lack of protection""}",10181.4,111158,42,survey-text,30,Non-Hispanic,"just what happened, nothing really external",Female,White,22738.7,
948,condition 1,0.0-8.0,"{""sunburn_simple_response"":""the sun""}",3650.3,115066,43,survey-text,30,Non-Hispanic,"just what happened, nothing really external",Female,White,22738.7,
966,condition 1,0.0-3.0,"{""flood_made_response"":""The basement flooded because it started raining really hard""}",12491.4,76987,25,survey-text,19,Non-Hispanic,I decided to focus on the thing that actually caused the thing to happen rather than the person's actions themselves,Male,Asian,23068.8,
966,condition 1,0.0-4.0,"{""flood_simple_response"":""The inflow of water from the rain flooded the basement""}",10722.8,87962,26,survey-text,19,Non-Hispanic,I decided to focus on the thing that actually caused the thing to happen rather than the person's actions themselves,Male,Asian,23068.8,
966,condition 1,0.0-7.0,"{""sunburn_made_response"":""The sun made Suzy's skin burn""}",7662.3,116083,42,survey-text,19,Non-Hispanic,I decided to focus on the thing that actually caused the thing to happen rather than the person's actions themselves,Male,Asian,23068.8,
966,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The sun""}",4411.9,120746,43,survey-text,19,Non-Hispanic,I decided to focus on the thing that actually caused the thing to happen rather than the person's actions themselves,Male,Asian,23068.8,
992,condition 1,0.0-3.0,"{""flood_simple_response"":""Rain from stormy weather""}",11792.9,108126,25,survey-text,25,Non-Hispanic,I was matter-of-fact rather than trying to blame Andy or Suzy,Female,"50% white, 50% asian",29706.9,
992,condition 1,0.0-4.0,"{""flood_made_response"":""Window being open""}",6384.6,114772,26,survey-text,25,Non-Hispanic,I was matter-of-fact rather than trying to blame Andy or Suzy,Female,"50% white, 50% asian",29706.9,
992,condition 1,0.0-7.0,"{""sunburn_simple_response"":""The sun""}",5114.1,160176,42,survey-text,25,Non-Hispanic,I was matter-of-fact rather than trying to blame Andy or Suzy,Female,"50% white, 50% asian",29706.9,
992,condition 1,0.0-8.0,"{""sunburn_made_response"":""Not wearing sunscreen""}",9609.3,170043,43,survey-text,25,Non-Hispanic,I was matter-of-fact rather than trying to blame Andy or Suzy,Female,"50% white, 50% asian",29706.9,
946,condition 1,0.0-3.0,"{""flood_simple_response"":""Water from the rain flooded the basement. ""}",11034.6,71616,25,survey-text,23,Non-Hispanic,What I saw in each scenario influenced how I decided to respond. I have no additional questions or comments regarding this experiment. ,Female,White,35107.6,
946,condition 1,0.0-4.0,"{""flood_made_response"":""The open window and the rain made the basement flood.""}",12179.8,84054,26,survey-text,23,Non-Hispanic,What I saw in each scenario influenced how I decided to respond. I have no additional questions or comments regarding this experiment. ,Female,White,35107.6,
946,condition 1,0.0-7.0,"{""sunburn_simple_response"":""The sun burned Suzy's skin. ""}",8136,114093,42,survey-text,23,Non-Hispanic,What I saw in each scenario influenced how I decided to respond. I have no additional questions or comments regarding this experiment. ,Female,White,35107.6,
946,condition 1,0.0-8.0,"{""sunburn_made_response"":""The sun made her skin burn and the fact that she forgot her sunscreen also contributed to her skin burning. ""}",15939.1,130286,43,survey-text,23,Non-Hispanic,What I saw in each scenario influenced how I decided to respond. I have no additional questions or comments regarding this experiment. ,Female,White,35107.6,
1006,condition 1,0.0-3.0,"{""flood_made_response"":"" IT'S BEEN RAINING AND THE WATER GOT INSIDE THE BASEMENT SINCE THE WINDOW WAS OPEN AND IT DID NOT HAVE A LATCH""}",85531,195375,25,survey-text,39,Non-Hispanic,NONE IT IS INFLUENCED BASED ON THE MAIN REASON OF SOMETHING HAPPENING,Female,White,48627,
1006,condition 1,0.0-4.0,"{""flood_simple_response"":""WATER""}",13588,209235,26,survey-text,39,Non-Hispanic,NONE IT IS INFLUENCED BASED ON THE MAIN REASON OF SOMETHING HAPPENING,Female,White,48627,
1006,condition 1,0.0-7.0,"{""sunburn_made_response"":""SHE FORGOT HER SUNSCREEN""}",13408,274633,42,survey-text,39,Non-Hispanic,NONE IT IS INFLUENCED BASED ON THE MAIN REASON OF SOMETHING HAPPENING,Female,White,48627,
1006,condition 1,0.0-8.0,"{""sunburn_simple_response"":""SUN""}",5915,280830,43,survey-text,39,Non-Hispanic,NONE IT IS INFLUENCED BASED ON THE MAIN REASON OF SOMETHING HAPPENING,Female,White,48627,
951,condition 1,0.0-3.0,"{""sunburn_made_response"":"" the sun""}",11981.4,70071,16,survey-text,19,,the storytelling,Female,White,23784.6,
951,condition 1,0.0-4.0,"{""sunburn_simple_response"":""the sun\n""}",12759,83082,17,survey-text,19,,the storytelling,Female,White,23784.6,
951,condition 1,0.0-7.0,"{""flood_made_response"":""the open window and broken latch""}",14924.4,148021,42,survey-text,19,,the storytelling,Female,White,23784.6,
951,condition 1,0.0-8.0,"{""flood_simple_response"":""the rain""}",6575.3,154863,43,survey-text,19,,the storytelling,Female,White,23784.6,
972,condition 1,0.0-3.0,"{""sunburn_made_response"":""the sun""}",8014.3,70664,16,survey-text,33,Non-Hispanic,"i was honest, the rain and the sun were the cause of other actions not being taken so I thought they were the most logical explanation.",Female,,43909.7,
972,condition 1,0.0-4.0,"{""sunburn_simple_response"":""the sun""}",6082.5,77003,17,survey-text,33,Non-Hispanic,"i was honest, the rain and the sun were the cause of other actions not being taken so I thought they were the most logical explanation.",Female,,43909.7,
972,condition 1,0.0-7.0,"{""flood_made_response"":""rain from the open window""}",10890.5,154288,42,survey-text,33,Non-Hispanic,"i was honest, the rain and the sun were the cause of other actions not being taken so I thought they were the most logical explanation.",Female,,43909.7,
972,condition 1,0.0-8.0,"{""flood_simple_response"":""rain""}",5278.5,159824,43,survey-text,33,Non-Hispanic,"i was honest, the rain and the sun were the cause of other actions not being taken so I thought they were the most logical explanation.",Female,,43909.7,
943,condition 1,0.0-3.0,"{""sunburn_made_response"":""The sun.""}",11033,114450,16,survey-text,25,Non-Hispanic,The scenarios and explanations provided to me. No.,Female,Black/African American,49336,
943,condition 1,0.0-4.0,"{""sunburn_simple_response"":""The sun.""}",6283,121042,17,survey-text,25,Non-Hispanic,The scenarios and explanations provided to me. No.,Female,Black/African American,49336,
943,condition 1,0.0-7.0,"{""flood_made_response"":""The open window.""}",11867,223906,42,survey-text,25,Non-Hispanic,The scenarios and explanations provided to me. No.,Female,Black/African American,49336,
943,condition 1,0.0-8.0,"{""flood_simple_response"":""The rain.""}",8000,232182,43,survey-text,25,Non-Hispanic,The scenarios and explanations provided to me. No.,Female,Black/African American,49336,
958,condition 1,0.0-3.0,"{""sunburn_simple_response"":"" the sun""}",6257.8,172812,16,survey-text,19,Non-Hispanic,Is Andy ok,Female,White,31552.6,
958,condition 1,0.0-4.0,"{""sunburn_made_response"":""the sun ""}",9631.4,182706,17,survey-text,19,Non-Hispanic,Is Andy ok,Female,White,31552.6,
958,condition 1,0.0-7.0,"{""flood_simple_response"":""Rain (though personally if the outside water level got to the height of the window, Dude has other problems and it would have flooded even if the window was latched. especially because the window opens inward)""}",89519,367045,42,survey-text,19,Non-Hispanic,Is Andy ok,Female,White,31552.6,
958,condition 1,0.0-8.0,"{""flood_made_response"":""Rain""}",11599.8,378900,43,survey-text,19,Non-Hispanic,Is Andy ok,Female,White,31552.6,
1007,condition 1,0.0-3.0,"{""sunburn_made_response"":""The sun burned Suzy's exposed skin.""}",52335,146000,16,survey-text,26,Non-Hispanic,,Male,White,19494,
1007,condition 1,0.0-4.0,"{""sunburn_simple_response"":""The sun burned Suzy's exposed skin.""}",33222,179478,17,survey-text,26,Non-Hispanic,,Male,White,19494,
1007,condition 1,0.0-7.0,"{""flood_made_response"":""The rain coming down while the window was open made the basement flood.""}",73170,360057,42,survey-text,26,Non-Hispanic,,Male,White,19494,
1007,condition 1,0.0-8.0,"{""flood_simple_response"":""Rain water flooded the basement.""}",24125,384439,43,survey-text,26,Non-Hispanic,,Male,White,19494,
990,condition 1,0.0-3.0,"{""flood_simple_response"":""The rain water""}",7017.9,96862,25,survey-text,21,Non-Hispanic,,Female,White,17442.4,
990,condition 1,0.0-4.0,"{""flood_made_response"":""The heavy rain and the window being open""}",15248.1,112364,26,survey-text,21,Non-Hispanic,,Female,White,17442.4,
990,condition 1,0.0-7.0,"{""sunburn_simple_response"":""The sun""}",6071.6,151585,42,survey-text,21,Non-Hispanic,,Female,White,17442.4,
990,condition 1,0.0-8.0,"{""sunburn_made_response"":""The sun and her lack of sunscreen""}",11241.4,163080,43,survey-text,21,Non-Hispanic,,Female,White,17442.4,
